AMICO,1
ANGLES,1
ANGLESO,1
CAMBRIDGE,1
COALESCE,1
COALESCENT,1
COMMUN,2
CONTINUAR,2
CUSTOSI,2
DEL,4
DESIRABILITE,2
DIFFERE,2
DIRECTE,2
DIT,1
ESSER,5
ETC,2
EUROPA,2
EUROPAN,3
EXISTENT,1
EXISTENTIE,2
FACT,1
FAMILIE,2
FAR,2
FRANCA,3
GRAMMATICA,5
LINGUA,3
LINGUE,1
LINGUES,7
LITOT,2
LOR,2
MEMBRES,2
MUSICA,2
MYTH,2
NECESSI,2
NOV,3
OCCIDENTAL,3
OMNICOS,2
PAROLES,2
PAYAR,2
PLU,6
POR,2
PRONUNCIATION,4
QUAM,4
QUANDE,1
QUE,1
REFUSA,2
REGULARI,2
RESULTANT,1
SAM,4
SCIENTIE,2
SEMBLAR,1
SEPARAT,2
SIMPLIC,3
SIMPLIFICAT,1
SKEPTIC,1
SOLMEN,4
SOMMUN,2
SPORT,2
TAM,1
TRADUCTORES,2
UNIFORM,2
USA,2
VOCABULAR,2
VOCABULES,2
